video_id,subset,action_label,gloss,feature_path
9016136408981892-ASK_flip,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/9016136408981892-ASK_flip.npy
6361233197473107-ASK_flip,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/6361233197473107-ASK_flip.npy
5976950094284144-ASK,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/5976950094284144-ASK.npy
9119980641597214-ASK_flip,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/9119980641597214-ASK_flip.npy
8288754770279061-ASK_flip,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/8288754770279061-ASK_flip.npy
9638840077181248-ASK_flip,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/9638840077181248-ASK_flip.npy
4229331784858039-ASK,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/4229331784858039-ASK.npy
7016774114845865-ASK,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/7016774114845865-ASK.npy
8888684132386102-ASK,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/8888684132386102-ASK.npy
7414475346730574-ASK,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/7414475346730574-ASK.npy
5144137925821732-ASK_flip,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/5144137925821732-ASK_flip.npy
9468049272199688-ASK,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/9468049272199688-ASK.npy
7289630318591162-ASK_flip,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/7289630318591162-ASK_flip.npy
6191228365161472-ASK_flip,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/6191228365161472-ASK_flip.npy
7494006086659246-ASK_flip,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/7494006086659246-ASK_flip.npy
8089826726180184-ASK_flip,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_34/features_mp/train/8089826726180184-ASK_flip.npy
