Palabra,Cantidad_Videos
CA,120
UP,60
TRIP 2,52
DOG,44
BASKETBALL,43
WHAT FOR,42
TRIP,39
BELT,39
DARK,38
HOSPITAL,38
DEAF,38
MECHANIC,38
DEMAND,38
BITE,38
BREAKFAST,38
BEE,38
EAT,38
CHRISTMAS,38
SHAVE,38
MOVIE,38
FOREIGNER,38
PATIENT 2,38
ELEVATOR,38
FINE,38
ROCKING CHAIR,38
PARTY,38
NIGHT,38
DOWNSIZE,37
MICROSCOPE,37
DECIDE,37
BELIEVE,37
LUNCH,37
RESEARCH,37
AXE,37
NOON,37
TYPE,37
RIVER,37
LETTUCE,37
RECENT,37
DRAG,37
EDIT,37
CALENDAR,36
TWINS,36
BACKPACK,36
DINNER,36
CONFUSED,36
GUESS,36
THIRD,36
SPECIAL,36
CANCER,36
HALLOWEEN,36
CLOUD,36
LOCK,36
CANCEL,36
THEY,35
TAKE OFF,35
DEVELOP,35
CEMETERY,31
STICKY,31
MOTHER,31
EACH,31
BOY,31
SPEAKERS,31
CHARACTER,31
BASEBALL CAP,31
CALL TTY,31
WHICH,31
FAVORITE,31
ALPHABET,31
SANDWICH 4,31
CANCELLATION,31
NAME,31
BASKET 2,31
BASEMENT,31
BRAIDS,31
VIDEOPHONE,31
FRIENDLY,31
HOPE,31
FARM,31
NORTH,31
MEDITATE 2,31
HELMET,31
CLOSE,31
WEAR,31
FOUR,31
PEEKABOO,31
RIGHT 2,31
PULL CONVINCE,31
FINISH,31
WANT 2,31
EXPLANATION,31
STEAL,31
HEARING,31
BOTTLE,31
COVER UP,31
CIGARETTE,31
HEALTH,31
STOMACH,31
DEPEND ON,31
WOMAN,31
BATH,31
THIEF 1,31
EUROPE,31
EMBARRASS,31
PONDER,31
RED,31
PERSON,31
ADVERTISE,31
MOTORCYCLE,31
FLUTE,31
SURPRISE,31
ANGRY,31
TEAM,31
CORN 2,31
SKATE,31
CHOCOLATE,31
ZOOM OFF,31
FAIL,31
CONCEPT,31
STRANGE,31
CABINET,31
LATER,31
5 DOLLARS,31
CHANNEL,31
APPEAR,31
PAIN,31
BEHAVIOR,31
WORM,31
BACK OUT,31
MAYBE,31
AUTISM,31
GREECE,31
WORK,31
BUTTERFLY,31
DANCE,31
SERVE 1,31
GREEN,31
BLOOD,31
TEXT,31
JOKE,31
KING,31
BRIDGE,31
PLAY,31
CATEGORY,31
COMPLEX,31
WHAT 2,31
AND,31
MAIL,31
WORK OUT,31
SHINY,31
LAUGH,31
FAULT,31
TRAVEL,31
SCARED,31
BOWL,31
INVITE,31
RAIN,31
CAPTURE,31
ENTER,31
COCACOLA,31
SINK,31
HUSBAND,31
GRENADE,31
APPLE,31
ALL OF_SUDDEN,31
THINGS,31
EGG BEATER,31
EGYPT,31
SOCIETY,31
SAME 2,31
WISH,31
CLEAR,31
ANYONE,31
THAT,31
CHEESE GRATER,31
ALARM,31
FRACTION,31
LIGHTER,31
SEW,31
UNDERSTAND,31
DRESS,31
OTHER,31
CL,31
CREDIT CARD,31
CASTLE 4,31
HELLO,31
CANDY 2,31
TRAIN,31
FALL 2,31
IMPORTANT,31
UNIVERSITY,31
GONE,31
DROWN 4,31
COOKIE,31
WRISTWATCH 2,31
TEMPTATION,31
MUSTACHE,31
LOOK APPEARANCE,31
ACTION,31
KANGAROO,31
WINK,31
CHAIN,31
EXPERIENCE,31
COCAINE,31
ABOUT,31
DO DO,31
TROUBLE,31
SOCCER 2,31
TAKE CARE,31
BRAVE,31
SLOW,31
DISAPPEAR,31
VIEW,31
AFTER,31
BORROW,31
MORNING,31
FILTER,31
CHEEK,31
CHASE,31
WHY,31
MEASURE,31
LIPSTICK,31
GIFT,31
ERASE 5,31
FALLING ASLEEP,31
FEW,31
VERY INTERESTED,31
RECORDING,31
WHO,31
SWITZERLAND,31
BROTHER,31
PSYCHOLOGY,31
BECAUSE,31
SSHH,31
FUTURE,31
PEPSI,31
TWO,31
CATHOLIC,31
SUSPECT,31
BOXING,31
CITY,31
GULLIBLE,31
VOTE,31
SHOP 1,31
HAMMER,31
ENEMY,30
NORMAL,30
JUNIOR,30
SUBTRACT,30
HOWL,30
PIZZA,30
CHEW 3,30
BITE ON_ARM,30
ORGANIZATION,30
TINY,30
HIPPO,30
AWKWARD,30
SPICY,30
ONE MORE_2,30
WINDOW,30
SAW,30
BED 2,30
MIX,30
SQUIRREL,30
EIGHT,30
GLOW,30
DELICIOUS,30
COOL,30
PERFUME,30
BOIL,30
SOMETHING,30
SPIDER,30
SNORKEL,30
ADVANTAGE,30
CUT 1,30
EVERY NIGHT,30
SHARK 2,30
JUICE 2,30
TONGUE,30
MOSQUITO,30
SWEATER 2,30
LOLLIPOP,30
CLICK,30
KEY,30
ONLY ONE,30
STRAWBERRY 3,30
WELCOME,30
SNOWSUIT,30
TECHNOLOGY,30
ALIGN,30
DEEP,30
FINANCE,30
SLICE 2,30
LAY DOWN,30
BINOCULARS,30
SYMPATHY,30
BATHROOM,30
HAT 2,30
THIEF 2,30
RABBIT 2,30
LOCK 3,30
PRIORITY,30
FOLD 2,30
BUS,30
HAIRDRYER 2,30
SNEEZE 2,30
VACATION,30
CORN 3,30
INFLUENCE,30
RULE,30
TOILET,30
SHIRT,30
TEAR RIP_1,30
IMPOSSIBLE,30
9 OCLOCK,30
REMOTE CONTROL,30
KANGAROO 2,30
FAST,30
TOY 3,30
CONTACT LENS,30
LETTER 2,30
TIE 2,30
GLASSES,30
SECRETARY,30
