video_id,subset,action_label,gloss,feature_path
5892698339580624-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/5892698339580624-HOSPITAL.npy
43142287081368647-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/43142287081368647-HOSPITAL.npy
9571221473356939-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/9571221473356939-HOSPITAL.npy
28791918942913153-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/28791918942913153-HOSPITAL.npy
5851960225980641-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/5851960225980641-HOSPITAL.npy
16499691175444786-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/16499691175444786-HOSPITAL.npy
8842873768781858-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/8842873768781858-HOSPITAL.npy
3284942530084891-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/3284942530084891-HOSPITAL.npy
3759922548209751-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/3759922548209751-HOSPITAL.npy
5903218158401913-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/5903218158401913-HOSPITAL.npy
2816314098780288-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/2816314098780288-HOSPITAL.npy
8311298382278862-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/8311298382278862-HOSPITAL.npy
5986181755240401-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/5986181755240401-HOSPITAL.npy
4315957172962892-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/4315957172962892-HOSPITAL.npy
997878459075781-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/997878459075781-HOSPITAL.npy
7710150320331248-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/7710150320331248-HOSPITAL.npy
08795608187591553-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/08795608187591553-HOSPITAL.npy
513048409174413-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/513048409174413-HOSPITAL.npy
8877316023603796-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/8877316023603796-HOSPITAL.npy
2657292811841865-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/2657292811841865-HOSPITAL.npy
13051783303937703-HOSPITAL,train,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/train/13051783303937703-HOSPITAL.npy
8512749353267319-HOSPITAL,val,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/val/8512749353267319-HOSPITAL.npy
0391236078587216-HOSPITAL,val,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/val/0391236078587216-HOSPITAL.npy
35176220038590755-HOSPITAL,val,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/val/35176220038590755-HOSPITAL.npy
9543121609158431-HOSPITAL,val,0,HOSPITAL,/content/drive/MyDrive/Kophos_Features_MVP_15/features_mp/val/9543121609158431-HOSPITAL.npy
